id,title,paper_abstract,published_in,year,url,readers,authors,x,y,groups,area_uri,area
9303,Eliciting Requirements for Learning Design Tools A Semio-Participatory Approach,"The need to properly design educational intervention, representing ex-plicitly what students and teachers are planned to do, has been acknowledged in literature. Thus, Learning Design (LD) tools, if made accessible and usable by teachers, can bring significant benefits potentially improving results of educa-tional practices. Although effort has been made in developing systems to support the learning design process, literature has shown they have not yet reached a suf-ficient spread among teachers. This paper investigated the subject by conducting semio-participatory practices with a group of teachers at a distance, to understand the meaning they make to issues regarding learning design practices and repre-sentations, aiming at eliciting user requirements for a prospective LD tool.",EC-TEL,Full Paper,NA,0,Alessandro Arpetti;M. Cecília C. Baranauskas;Tommaso Leo;,-2.536330008,-0.880734702,1,inquiry-based-learning,Inquiry-based learning
9304,Technology use in lectures to enhance students? attention,"Mobile devices, such as laptops, smartphones and tablets, are ubiquitous in lectures. Students report to use their mobile devices for lecture-related activities (e.g. taking notes). Observational data shows, that students use mobile device mainly for lecture-unrelated activities, like Facebook or playing games. So currently, mobile devices seem to distract learners from the lecture and ultimately hinder student-teacher interaction. In this study, we investigated how students (n = 75) use their mobile devices (N = 80) in a traditional lecture setting when supported with the technological support system ?Backstage? or not. Backstage entails functions for quizzing students (Audience-Response-System) and a backchannel allowing students to interact with each other, commenting on slides, asking questions, and providing feedback to lecturers. The results show that this technology increases students? focus on lecture-related activities.",EC-TEL,Full Paper,NA,0,Vera Gehlen-Baum;Armin Weinberger;Alexander Pohl;Francois Bry;,-2.288456076,-0.118059108,2,mobile-device,Mobile device
9305,Digital Didactical Designs of Learning Expeditions,"Current studies on media tablets illustrated that mobile technology may improve learning when truly integrated into learning settings. The question remains what truly integrated means, how it might be operationalized. In a study of Scandinavian classrooms, the question was how teachers adopt and integrate media tablets in their teaching practices in order to provide learning opportunities for their students. Seven K-9 schools implemented media tablets for around 2,000 students aged 6-16 and ca. 170 teachers in a 1:1 programme launched in 2012 (one tablet per student). Mixed methods, interviews, classroom observations and online surveys have been applied. The findings illustrate new forms of teaching practices. Studying technology integration from the angle of a socio-technical-pedagogical practice, it reveals the interrelationship of teaching processes and quality of learning. This study shows five forms of Digital Didactical Design in practice, which affect tablet-mediated learning expeditions ? most of the designs boost learning, others restrict learning. ",EC-TEL,Full Paper,NA,0,Isa Jahnke;Lars Norqvist;Andreas Olsson;,-3.137478403,-0.751788087,1,inquiry-based-learning,Inquiry-based learning
9306,"Technology Enhancing Learning: Past, Present and Future.","Every year the European Conference on Technology Enhanced Learning (ECTEL) gathers state-of-the-art research in the TEL field. Eight years have passed since the first edition of this conference, resulting in over 500 research papers published and more than 1000 researchers involved. However, bringing together two di erent fields of study (Technology and Learning), does not necessarily imply interdisciplinary research. To inspect ECTEL?s interdisciplinarity and related facts, we dedicate this paper to study the evolution of the conference over time. In this paper, we provide a thorough analysis of the evolution of papers, authors and topics explored over the years. Our analysis provides an understanding of the origin of the conference and the direction that future research in TEL is moving towards. In addition to this, we built interactive online interfaces to enable researches to explore all the information pertaining to past ECTEL research. These interfaces enable users to easily browse through ECTEL papers, authors, knowledge and connections, possibly leveraging the discovery of related work and future collaborations.",EC-TEL,Full Paper,NA,0,Ricardo Kawase;Patrick Siehndel;Ujwal Gadiraju;,-1.418685189,-1.264702974,3,field-trip,Field trip
9307,Which Recommender System Can Best Fit Social Learning Platforms?,"This study aims to develop a recommender system for social learning platforms that combine traditional learning management systems with commercial social networks like Facebook. We therefore take into account social interactions of users to make recommendations on learning resources. We propose to make use of graph-walking methods for improving performance of the well-known baseline algorithms. We evaluate the proposed graph-based approach in terms of their F1 score, which is an effective combination of precision and recall as two fundamental metrics used in recommender systems area. The results show that the graph-based approach can help to improve performance of the baseline recommenders; particularly for rather sparse educational datasets used in this study.",EC-TEL,Full Paper,NA,0,Soude Fazeli;Babak Loni;Hendrik Drachsler;Peter Sloep;,2.376803776,-0.726716368,4,software-engineering,Software engineering
9308,Usage-based Clustering of Learning Resources to Improve Recommendations,"In this paper, we introduce a usage-based technique for clustering learning resources accessed in online learning portals. This approach solely relies on the usage of the learning resources and does not consider their content or the relations between the users and the resources. In order to cluster the resources, we calculate higher-order cooccurrences, a technique taken from corpus-driven lexicology where it is used to cluster words based on their usage in language. We  first outline how we adapt the approach to then present an extensive evaluation that shows the e ects of the clustering. Finally, we show how the resulting clusters can be used to enhance recommender systems.",EC-TEL,Full Paper,NA,0,Katja Niemann;Martin Wolpers;,1.006015431,0.232261193,5,methodology,Methodology
9309,Feature Analysis for Affect Recognition Supporting Task Sequencing in Adaptive Intelligent Tutoring Systems,"Originally, the task sequencing in adaptive intelligent tutoring systems needs information gained from expert and domain knowledge as well as information about former performances. In a former work a new  ecient task sequencer based on a performance prediction system was presented, which only needs former performance information but not the expensive expert and domain knowledge. This task sequencer uses the output of the performance prediction to sequence the tasks according to the theory of Vygotsky's Zone of Proximal Development. In this paper we aim to support this sequencer by a further automatically to gain information source, namely speech input from the students interacting with the tutoring system. The proposed approach extracts features from students speech data and applies to that features an automatic affect recognition method. The output of the a ect recognition method indicates, if the last task was too easy, too hard or appropriate for the student. Hence, as according to Vygotsky's theory the next task should not be too easy or too hard for the student to neither bore nor frustrate him, obviously the output of our proposed a ect recognition is suitable to be used as an input for supporting a sequencer based on the theory of Vygotsky's Zone of Proximal Development. Hence, in this paper we (1) propose a new approach for supporting task sequencing by a ect recognition, (2) present an analysis of appropriate features for a ect recognition extracted from students speech input and (3) show the suitability of the proposed features for a ect recognition for supporting task sequencing in adaptive intelligent tutoring systems.",EC-TEL,Full Paper,NA,0,Ruth Janning;Carlotta Schatten;Lars Schmidt-Thieme;,-2.420350097,0.252296089,2,mobile-device,Mobile device
9310,Abstraction of Learning Management Systems Instructional Design Semantics: a Meta-Modeling approach applied to the Moodle case-study,"Nowadays Learning Management Systems (LMS) are not restricted to distant uses. Nevertheless, the pedagogical expressiveness of designed courses is strongly dependent on the teacher's knowledge and expertise about the targeted platform. The funded GraphiT project aims to help teachers in focusing on the speci cation of pedagogically sound and technically executable learning designs. To this end, we propose to support teachers by providing an LMS-speci c Visual Instructional Design Language (VIDL). This paper proposes a speci c LMS- centered approach for raising the pedagogical expressiveness of its implicit learning design semantics. We discussed, in accordance to the activity theory, how the LMS low-level parameterizations could be abstracted in order to build higher- level building blocks. Based on the Moodle application, we present and illustrate our approach by formalising the abstract syntax of a Moodle-dedicated VIDL.",EC-TEL,Full Paper,NA,0,Esteban Loiseau;Pierre Laforcade;Sebastien Iksal;,-2.574756091,-1.050136443,1,inquiry-based-learning,Inquiry-based learning
9311,A Recommender System for Students Based on Social Knowledge and Assessment Data of Competences A Recommender System for Students Based on Social Knowledge and Assessment Data of Competences,"TEL Recommender systems have been used to improve experiences of students or teachers. Many such systems use information about students, such as interests, preferences, and demographic data. They also use resource metadata and ratings. The authors of this paper think that recommender systems are also valuable when implemented in online or blended courses using competence?based assessment since these systems can take advantage of social knowledge about competence development, and students? performance. By using collaborative filtering and knowledge?based techniques, it is possible to obtain recommendations from social knowledge and adapt the former to each student?s performance. In this paper, the authors propose a system to recommend activities and resources that help students in achieving competence levels throughout an online or blended course. This recommender system takes into consideration experiences previously stored and ranked by former students. In order to offer successful learning advice, this recommender system analyzes the student?s current competence levels against similar former students? performances. Functional test results indicate that the proposed technical approach is accurate. Moreover, these results seem to reflect that social knowledge and students' qualifications are sources of valuable recommendations for online and blended courses.",EC-TEL,Full Paper,NA,0,Oscar Chavarriaga;Beatriz Florian-Gaviria;Oswaldo Solarte;,1.262189386,-1.036042934,6,recommender-system,Recommender system
9312,Social network sites as a moderating factor in e-learning platform adoption. An extension,"The use of Social Network Sites (SNS), and the improvements gained from new technologies through e-learning platforms are two of the main topics that are currently discussed in the area of higher education. Acquiring a better understanding of e-Learning platform adoption requires the addition of new antecedents to prevailing models and an analysis of their interrelations with other information and communication technologies. Web 2.0 and SNS are of particular significance in this connection. This paper attempts to determine the validity of the antecedents posited by Chan et al. (2010) in the field of e-Learning and the moderating role that SNS use may play in platform adoption. The influence of awareness, self-efficacy, convenience and assistance as antecedents of the components of the adoption model is determined; it is further found that SNS use has a moderating effect on the relationship between the intention to use the platform and its posited antecedents.",EC-TEL,Full Paper,NA,0,Cayetano Medina;Ramon Rufin;,-1.470886834,-0.527784953,3,field-trip,Field trip
