id,title,doi,x,y,area,authors,readers,paper_abstract
0,The Repeated Replacement Method: A Pure Lagrangian Meshfree Method for Computational Fluid Dynamics,10.1371/journal.pone.0039999,0.156943832,-0.940508069,1,none,1,none
1,Mechanism of and Threshold Biomechanical Conditions for Falsetto Voice Onset,10.1371/journal.pone.0017503,-2.137177965,0.786269494,2,none,1,none
2,A Thermokinetic Approach to Radiative Heat Transfer at the Nanoscale,10.1371/journal.pone.0058770,-0.747244345,0.875753878,3,none,1,none
3,Plane Wave Diffraction by a Finite Plate with Impedance Boundary Conditions,10.1371/journal.pone.0092566,0.127465342,-1.81951607,4,none,1,none
4,Moving Away from Exhaustion: How Core Self-Evaluations Influence Academic Burnout,10.1371/journal.pone.0087152,-1.606817576,-1.973159076,5,none,1,none
5,2DEGs at Perovskite Interfaces between KTaO<sub>3</sub> or KNbO<sub>3</sub> and Stannates,10.1371/journal.pone.0091423,0.275796334,0.739025814,3,none,1,none
6,Personal Traits Underlying Environmental Preferences: A Discrete Choice Experiment,10.1371/journal.pone.0089603,-2.379174445,-1.310812196,5,none,1,none
7,Observer Bias: An Interaction of Temperament Traits with Biases in the Semantic Perception of Lexical Material,10.1371/journal.pone.0085677,-0.58480798,-1.146818212,6,none,1,none
8,Uncontacted Waorani in the Yasuní Biosphere Reserve: Geographical Validation of the <i>Zona Intangible Tagaeri Taromenane (ZITT)</i>,10.1371/journal.pone.0066293,-2.214081425,-0.615407432,7,none,1,none
9,Minimally Invasive Surgical Versus Catheter Ablation for the Long-Lasting Persistent Atrial Fibrillation,10.1371/journal.pone.0022122,-0.171043909,-0.585431147,8,none,1,none
10,Does <i>S</i>-Metolachlor Affect the Performance of <i>Pseudomonas</i> sp. Strain ADP as Bioaugmentation Bacterium for Atrazine-Contaminated Soils?,10.1371/journal.pone.0037140,0.505361036,0.278519951,9,none,1,none
11,Projected Impacts of Climate and Land-Use Change on the Global Diversity of Birds,10.1371/journal.pbio.0050157,1.245497504,1.132643683,10,none,1,none
12,Mapping Global Diversity Patterns for Migratory Birds,10.1371/journal.pone.0070907,0.679590069,-0.368470325,9,none,1,none
13,A Universal Model of Commuting Networks,10.1371/journal.pone.0045985,0.657653434,1.512747752,10,none,1,none
14,Non-Equilibrium Casimir Force between Vibrating Plates,10.1371/journal.pone.0053228,1.275688394,0.72918785,11,none,1,none
15,Microbial Electricity Generation Enhances Decabromodiphenyl Ether (BDE-209) Degradation,10.1371/journal.pone.0070686,-0.19390364,0.936400688,3,none,1,none
