id,title,readers,x,y,area,paper_abstract,published_in,year,url,file_hash,authors,doctype,oa_state
1a015a70-6d03-11df-a2b2-0026b95e3eb7,A framework to analyze argumentative knowledge construction in computer-supported collaborative learning,91,-0.507408307,-1.061303803,Computer-supported Collaborative Learning,"Computer-supported collaborative learning (CSCL) is often based on written argumentative discourse of learners, who discuss their perspectives on a problem with the goal to acquire knowledge. Lately, CSCL research focuses on the facilitation of specific processes of argumentative knowledge construction, e.g., with computer-supported collaboration scripts. In order to refine process-oriented instructional support, such as scripts, we need to measure the influence of scripts on specific processes of argumentative knowledge construction. In this article, we propose a multi-dimensional approach to analyze argumentative knowledge construction in CSCL from sampling and segmentation of the discourse corpora to the analysis of four process dimensions (participation, epistemic, argumentative, social mode).",Computers & Education,2006,a-framework-to-analyze-argumentative-knowledge-construction-in-computersupported-collaborative-learning,978018f69b3e27b930a6de719bc8f285f2295793,"Weinberger,A;Fischer,F;",dataset,1
bc8fff40-6d02-11df-a2b2-0026b95e3eb7,A survey of current research on online communities of practice,156,-0.741558677,0.643179161,Community of Practice,"The author surveys current literature on communities of practice and their potential development using networked technology and remote collaboration, specifically with respect to World Wide Web (WWW) communication tools. The vast majority of the current literature in this new research area consists of case studies. Communities of practice have the following components that distinguish them from traditional organizations and learning situations: (1) different levels of expertise that are simultaneously present in the community of practice; (2) fluid peripheral to center movement that symbolizes the progression from being a novice to an expert; and (3) completely authentic tasks and communication. Supporting concepts include aspects of constructivism (i.e., ill-structured problems, facilitation, collaborative learning, and negotiated goals), community knowledge greater than individual knowledge, as well as an environment of safety and trust. Virtual communities are defined as designed communities using current networked technology, whereas communities of practice emerge within the designed community via the ways their participants use the designed community. Current networked technology has both advantages and disadvantages in emergent development of communities of practice. Because most collaboration is text-based, norms are reduced, enabling introverted participants to share their ideas on an equal footing with extroverts. However, the greatest problem with virtual communities is withdrawing, or attrition. This problem can be reduced somewhat through good facilitation techniques and adequate scaffolding, especially in the cases of online communication techniques and technical support. Finally, the author recommends further research questions and proposes a case study, whose purpose is to observe the effects of an emerging community of practice within the designed environment of a virtual community.",The Internet and Higher Education,2001,a-survey-of-current-research-on-online-communities-of-practice,57f25a1f63055eaf4cc1348ab070d9a6574acc00,"Johnson,C;",dataset,1
adae2ec0-6d02-11df-a2b2-0026b95e3eb7,A theory of online learning as online participation,58,0.410497352,1.758261611,Online Learning and Technology Adoption,"In this paper, an initial theory of online learning as online participation is suggested. It is argued that online learner participation (1) is a complex process of taking part and maintaining relations with others, (2) is supported by physical and psychological tools, (3) is not synonymous with talking or writing, and (4) is supported by all kinds of engaging activities. Participation and learning are argued to be inseparable and jointly constituting. The implication of the theory is straightforward: If we want to enhance online learning, we need to enhance online learner participation.",Computers & Education,2009,a-theory-of-online-learning-as-online-participation,70008455a87e20764ea07c5d6698798084ea3943,"Hrastinski,Stefan;",dataset,1
2caa2890-6d04-11df-a2b2-0026b95e3eb7,Augmented Reality Simulations on Handheld Computers,81,-2.102678514,-0.91081109,Game-based Learning,"Advancements in handheld computing, particularly its portability, social interactivity, context sensitivity, connectivity, and individuality, open new opportunities for immersive learning environments. This article articulates the pedagogical potential of augmented reality simulations in environmental engineering education by immersing students in the roles of scientists conducting investigations. This design experiment examined if augmented reality simulation games can be used to help students understand science as a social practice, whereby inquiry is a process of balancing and managing resources, combining multiple data sources, and forming and revising hypotheses in situ. We provide 4 case studies of secondary environmental science students participating in the program. Positioning students in virtual investigations made apparent their beliefs about science and confronted simplistic beliefs about the nature of science. Playing the game in 'real' space also triggered students' preexisting knowledge, suggesting that a powerful potential of augmented reality simulation games can be in their ability to connect academic content and practices with students' physical, lived worlds. The game structure provided students a narrative to think with, although students differed in their ability to create a coherent narrative of events. We argue that Environmental Detectives is 1 model for helping students understand the socially situated nature of scientific practice.",The Journal of the Learning Sciences,2007,augmented-reality-simulations-on-handheld-computers,a4f308580a53de5aff759f67943b435fb217a038,"Squire,Kurt;Klopfer,Eric;",dataset,1
f7d185b0-6d02-11df-a2b2-0026b95e3eb7,Blended learning: Uncovering its transformative potential in higher education,124,0.322313494,2.464285553,The Future of Learning,"The purpose of this paper is to provide a discussion of the transformative potential of blended learning in the context of the challenges facing higher education. Based upon a description of blended learning, its potential to support deep and meaningful learning is discussed. From here, a shift to the need to rethink and restructure the learning experience occurs and its transformative potential is analyzed. Finally, administrative and leadership issues are addressed and the outline of an action plan to implement blended learning approaches is presented. The conclusion is that blended learning is consistent with the values of traditional higher education institutions and has the proven potential to enhance both the effectiveness and efficiency of meaningful learning experiences.",The Internet and Higher Education,2004,blended-learning-uncovering-transformative-potential-higher-education-1,bd88d81f276380b0c69cbcec6968c1c49d685018,"Garrison,D;Kanuka,H;",dataset,1
2251fee0-6d04-11df-a2b2-0026b95e3eb7,Cognitive Architecture and Instructional Design,198,0.81934945,-2.508687018,Cognitive Models,"Cognitive load theory has been designed to provide guidelines intended to assist in the presentation of information in a manner that encourages learner activities that optimize intellectual performance. The theory assumes a limited capacity working memory that includes partially independent subcomponents to deal with auditory/verbal material and visual/2- or 3-dimensional information as well as an effectively unlimited long-term memory, holding schemas that vary in their degree of automation. These structures and functions of human cognitive architecture have been used to design a variety of novel instructional procedures based on the assumption that working memory load should be reduced and schema construction encouraged. This paper reviews the theory and the instructional designs generated by it.",Educational Psychology Review,1998,cognitive-architecture-instructional-design-1,122522a10ba897644e8a0af75e86ccb75464ae3e,"Sweller,John;Merrienboer,Jeroen J G Van;Paas,Fred G W C;",dataset,1
2a300830-6d01-11df-a2b2-0026b95e3eb7,Cognitive load during problem solving: Effects on learning,199,0.732365483,-2.19185823,Cognitive Models,"Considerable evidence indicates that domain specific knowledge in the form of schemas is the primary factor distinguishing experts from novices in problem-solving skill. Evidence that conventional problem-solving activity is not effective in schema acquisition is also accumulating. It is suggested that a major reason for the ineffectiveness of problem solving as a learning device, is that the cognitive processes required by the two activities overlap insufficiently, and that conventional problem solving in the form of means-ends analysis requires a relatively large amount of cognitive processing capacity which is consequently unavailable for schema acquisition. A computational model and experimental evidence provide support for this contention. Theoretical and practical implications are discussed.",Cognitive Science,1988,cognitive-load-during-problem-solving-effects-on-learning,158ee80e712910bf80003fb8975d3544a4cbbe51,"Sweller,J;",dataset,1
a46f4880-2f3a-11e0-bce8-0024e8453de6,"Communities of Practice: Learning, Meaning, and Identity",232,-0.947737666,0.110230336,Community of Practice,"This book presents a theory of learning that starts with the assumption that engagement in social practice is the fundamental process by which we get to know what we know and by which we become who we are. The primary unit of analysis of this process is neither the individual nor social institutions, but the informal 'communities of practice' that people form as they pursue shared enterprises over time. To give a social account of learning, the theory explores in a systematic way the intersection of issues of community, social practice, meaning, and identity. The result is a broad framework for thinking about learning as a process of social participation. This ambitious but thoroughly accessible framework has relevance for the practitioner as well as the theoretician, presented with all the breadth, depth, and rigor necessary to address such a complex and yet profoundly human topic.",Learning in doing,1998,communities-practice-learning-meaning-identity-19,8e0bd9debb0836aa5d77f18d19d893181edf21a5,"Wenger,Etienne;",dataset,1
60183130-6d00-11df-a2b2-0026b95e3eb7,Computer-supported collaborative learning: An historical perspective,172,-0.362757295,0.484984451,Computer-supported Collaborative Learning,"Computer-supported collaborative learning (CSCL) is an emerging branch of the learning sciences concerned with studying how people can learn together with the help of computers. As we will see in this essay, such a simple statement conceals considerable complexity. The interplay of learning with technology turns out to be quite intricate. The inclusion of collaboration, computer mediation and distance education has problematized the very notion of learning and called into question prevailing assumptions about how to study it. Like many active fields of scientific research, CSCL has a complex relationship to established disciplines, evolves in ways that are hard to pinpoint and includes important contributions that seem incompatible. The field of CSCL has a long history of controversy about its theory, methods and definition. Furthermore, it is important to view CSCL as a vision of what may be possible with computers and of what kinds of research should be conducted, rather than as an established body of broadly accepted laboratory and classroom practices. We will start from some popular understandings of the issues of CSCL and gradually reveal its more complex nature. We will review CSCLs historical development and offer our perspective on its future.",Cambridge handbook of the learning sciences,2006,computersupported-collaborative-learning-an-historical-perspective,8b5337265624c3eeaa6d0268e74a02de805dea92,"Stahl,Gerry;Koschmann,Timothy;Suthers,Dan;",dataset,1
dc7219d0-6d0a-11df-a2b2-0026b95e3eb7,Confronting the Challenges of Participatory Culture: Media Education for the 21 Century,195,-0.463441244,1.989194028,Digital Natives,"According to a recent study from the Pew Internet & American Life project (Lenhardt & Madden,2005),more than one-half of all teens have created media content,and roughly one- third of teens who use the Internet have shared content they produced.In many cases,these teens are actively involved in what we are calling participatory cultures.A participatory culture is a culture with relatively low barriers to artistic expression and civic engagement,strong support for creating and sharing ones creations,and some type of informal mentorship whereby what is known by the most experienced is passed along to novices.A participatory culture is also one in which members believe their contributions matter,and feel some degree of social con- nection with one another (at the least they care what other people think about what they have created).Forms of participatory culture include: Affiliations memberships,formal and informal,in online communities centered around various forms of media,such as Friendster,Facebook,message boards, metagaming,game clans,or MySpace). Expressions producing new creative forms,such as digital sampling,skinning and modding,fan videomaking,fan fiction writing,zines,mash-ups). Collaborative Problem-solving working together in teams,formal and informal, to complete tasks and develop new knowledge (such as through Wikipedia,alternative reality gaming,spoiling). Circulations Shaping the flow of media (such as podcasting,blogging). A growing body of scholarship suggests potential benefits of these forms of participatory cul- ture,including opportunities for peer-to-peer learning,a changed attitude toward intellectual property,the diversification of cultural expression,the development of skills valued in the mod- ern workplace,and a more empowered conception of citizenship. Access to this participatory culture functions as a new form of the hidden curriculum,shaping which youth will succeed and which will be left behind as they enter school and the workplace. Some have argued that children and youth acquire these key skills and competencies on their own by interacting with popular culture.Three concerns,however,suggest the need for policy and pedagogical interventions: The Participation Gap the unequal access to the knowledge that will prepare youth for full participation in the world of tomorrow. The Transparency Problem The challenges young people face in learning to see clearly the ways that media shape perceptions of the world. The Ethics Challenge The breakdown of traditional forms of professional training and socialization that might prepare young people for their increasingly public roles as media makers and community participants.",Program,2009,confronting-the-challenges-of-participatory-culture-media-education-for-the-21st-century-2,c82d964c7724a7cf9c6eed112d64e4cd0fb4ec2a,"Jenkins,Henry;",dataset,1
