descriptor	min_depth	max_depth	n_tree_locations
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride	4	5	3
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	7	8	3
1,2-Dimethylhydrazine	5	5	1
1,2-Dipalmitoylphosphatidylcholine	8	8	1
1,4-alpha-Glucan Branching Enzyme	7	7	1
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	4	5	3
1-Acylglycerol-3-Phosphate O-Acyltransferase	5	5	1
1-Acylglycerophosphocholine O-Acyltransferase	5	5	1
1-Alkyl-2-acetylglycerophosphocholine Esterase	9	9	1
1-Butanol	4	5	2
1-Carboxyglutamic Acid	5	5	3
1-Deoxynojirimycin	3	5	4
1-Methyl-3-isobutylxanthine	8	8	1
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	4	4	1
1-Methyl-4-phenylpyridinium	5	5	1
1-Naphthylamine	3	7	3
1-Naphthylisothiocyanate	4	7	4
1-Octanol	4	5	2
1-Phosphatidylinositol 4-Kinase	6	6	1
1-Propanol	4	4	1
1-Pyrroline-5-Carboxylate Dehydrogenase	5	5	1
1-Sarcosine-8-Isoleucine Angiotensin II	6	6	2
11-beta-Hydroxysteroid Dehydrogenase Type 1	7	7	2
11-beta-Hydroxysteroid Dehydrogenase Type 2	7	7	2
11-beta-Hydroxysteroid Dehydrogenases	6	6	2
11-Hydroxycorticosteroids	5	5	1
12-Hydroxy-5,8,10,14-eicosatetraenoic Acid	7	7	2
12E7 Antigen	5	6	4
14-3-3 Proteins	5	5	3
14-alpha Demethylase Inhibitors	5	7	4
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	5	10	7
15-Oxoprostaglandin 13-Reductase	5	5	1
16,16-Dimethylprostaglandin E2	5	8	3
17 alpha-Hydroxyprogesterone Caproate	9	10	2
17-alpha-Hydroxypregnenolone	6	7	3
17-alpha-Hydroxyprogesterone	8	9	2
17-Hydroxycorticosteroids	5	5	1
17-Hydroxysteroid Dehydrogenases	6	6	1
17-Ketosteroids	4	5	2
18-Hydroxycorticosterone	6	8	2
18-Hydroxydesoxycorticosterone	6	8	2
19-Iodocholesterol	5	7	3
2',3'-Cyclic Nucleotide 3'-Phosphodiesterase	5	7	2
2',3'-Cyclic-Nucleotide Phosphodiesterases	6	6	1
2',5'-Oligoadenylate Synthetase	6	6	1
2,2'-Dipyridyl	4	4	1
2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	5	5	1
2,3-Diketogulonic Acid	3	5	3
2,3-Diphosphoglycerate	5	7	4
2,4,5-Trichlorophenoxyacetic Acid	6	7	2
2,4-Dichlorophenoxyacetic Acid	6	7	2
2,4-Dinitrophenol	5	9	2
2,6-Dichloroindophenol	8	8	1
2-Acetolactate Mutase	5	5	1
2-Acetylaminofluorene	4	7	4
2-Amino-5-phosphonovalerate	4	5	2
2-Aminoadipate Transaminase	6	6	1
2-Aminoadipic Acid	4	6	2
2-Aminopurine	6	6	1
2-Chloroadenosine	5	7	3
2-Hydroxy-5-nitrobenzyl Bromide	4	8	3
2-Hydroxyphenethylamine	5	5	4
2-Hydroxypropyl-beta-cyclodextrin	5	8	3
2-Isopropylmalate Synthase	5	5	1
2-Methoxyestradiol	7	7	2
2-Methyl-4-chlorophenoxyacetic Acid	6	7	2
2-Naphthylamine	3	7	3
2-Oxoisovalerate Dehydrogenase (Acylating)	6	6	1
2-Propanol	4	4	1
2-Pyridinylmethylsulfinylbenzimidazoles	4	5	3
20-alpha-Dihydroprogesterone	7	8	2
20-alpha-Hydroxysteroid Dehydrogenase	7	8	3
20-Hydroxysteroid Dehydrogenases	6	6	1
2019-nCoV Vaccine mRNA-1273	6	7	4
22q11 Deletion Syndrome	4	5	11
24,25-Dihydroxyvitamin D 3	7	9	4
25-Hydroxyvitamin D 2	5	7	4
25-Hydroxyvitamin D3 1-alpha-Hydroxylase	5	8	6
